"","date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"80",2020-10-30,"ME","A+",146,145,0,1,486,486,17,3,NA,5,616843,11398,11780,NA,615106,NA,1,6570,5829,103,0,361,NA,NA,NA,7204,5495,NA,0,623413,11501,12153,NA,NA,NA,NA,0,622672,11478
"81",2020-10-30,"MI","A+",7665,7309,12,356,NA,NA,1728,0,NA,398,4668695,58021,NA,NA,4668695,NA,167,193388,174388,3345,0,NA,NA,NA,NA,233697,114939,NA,0,4862083,61366,328693,NA,NA,NA,NA,0,4902392,62103
"82",2020-10-30,"MN","A",2437,2420,18,17,10119,10119,738,128,2665,176,1691334,13250,NA,NA,NA,NA,NA,145465,144862,3154,0,NA,NA,NA,NA,NA,125052,2774695,31826,2774695,31826,NA,28643,NA,NA,1836196,16323,NA,0
"83",2020-10-30,"MO","A+",2925,NA,26,NA,NA,NA,1530,0,NA,479,1319082,6158,81716,71709,2284801,NA,200,180200,180200,2507,0,5501,7009,3618,NA,205382,NA,NA,0,2494866,20470,87421,41139,83459,28275,1499282,8665,2494866,20470
"84",2020-10-30,"MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15993,0,NA,NA,NA,NA,NA,92,92,0,0,NA,NA,NA,NA,NA,29,NA,0,16085,0,NA,NA,NA,NA,16085,0,22633,0
"85",2020-10-30,"MS","A+",3328,2998,18,330,6576,6576,712,0,NA,173,804264,0,NA,NA,NA,NA,72,119336,104312,749,0,95,NA,NA,NA,NA,101385,NA,0,923600,749,44238,94219,NA,NA,NA,0,908108,0
"86",2020-10-30,"MT","B",364,NA,27,NA,1327,1327,357,15,NA,NA,460713,3959,NA,NA,NA,NA,NA,31916,31916,1063,0,NA,NA,NA,NA,NA,21102,NA,0,492629,5022,NA,NA,NA,NA,NA,0,492629,5022
"87",2020-10-30,"NC","A+",4332,4257,49,75,NA,NA,1196,0,NA,343,3733961,41639,NA,NA,NA,NA,NA,271830,260709,2809,0,NA,NA,NA,NA,NA,231611,NA,0,4005791,44448,NA,29700,NA,NA,NA,0,3994670,44029
"88",2020-10-30,"ND","B",400,395,18,5,1586,1586,294,39,312,44,249455,1065,10173,NA,NA,NA,NA,42483,42483,1353,0,673,NA,NA,NA,NA,34696,823327,11315,823327,11315,10846,NA,NA,NA,291938,2418,857502,11935
"89",2020-10-30,"NE","A",637,NA,9,NA,2977,2977,528,27,NA,NA,517948,3764,NA,NA,838992,NA,NA,68150,68150,1605,0,NA,NA,NA,NA,80454,43516,NA,0,920664,15374,NA,NA,NA,NA,586410,5368,920664,15374
